COD;PROV;N2018;N2017;N2016;N2015;M2018;M2017;M2016;M2015
8191;Barcelona;70;62;61;50;420,7;337,47;331,75;341,6
43135;Tarragona;5;10;9;7;0;446,5;334,44;330,71
43905;Tarragona;647;636;602;585;506,81;468,66;459,83;444,42
17155;Girona;633;634;624;693;455,98;392,63;390,37;376,35
25191;Lleida;5;7;0;0;0;334,43;0;0
8194;Barcelona;492;414;446;497;699,57;654,08;588,46;559,15
8195;Barcelona;1;3;1;1;0;0;0;0
8196;Barcelona;422;329;388;348;636,23;606,73;544,2;522,17
8197;Barcelona;267;227;204;218;907,12;837,38;770,48;766,87
17157;Girona;1;1;0;0;0;0;0;0
17183;Girona;4;3;3;1;0;0;0;0
8198;Barcelona;136;108;132;110;659,49;607,05;556,05;550,18
8199;Barcelona;6;9;10;7;496,67;474,44;444,5;400,29
8200;Barcelona;1268;1128;1047;1097;673,41;639,59;590,69;551,59
8201;Barcelona;6;8;4;6;370,83;300,63;0;365
43136;Tarragona;269;228;235;247;325,91;290,42;293,47;261,42
8203;Barcelona;51;35;38;55;717,93;568,41;616,18;609,55
8202;Barcelona;371;296;282;327;541,8;505,98;466,81;434,55
8204;Barcelona;79;67;54;49;693,65;660,24;599,63;586,53
17158;Girona;18;16;19;6;430,56;469,69;447,47;387,5
8205;Barcelona;2172;1975;1513;1587;1149,55;1095,85;996,07;897,54
8206;Barcelona;6;8;14;5;417,5;568,75;555,71;0
25196;Lleida;0;1;0;0;0;0;0;0
8207;Barcelona;75;50;66;78;630,75;623,08;588,08;510,79
8208;Barcelona;160;120;114;136;769,38;774,47;662,86;666,91
17159;Girona;11;7;7;11;525,45;646,43;932,86;535
8210;Barcelona;229;224;197;189;524,28;495,01;442,86;398,73
17160;Girona;460;459;485;451;535,23;500,09;464,26;458,74
8211;Barcelona;632;567;613;597;756,08;729,24;632,7;596,59
17161;Girona;42;37;24;20;369,52;390,68;315,83;306
8212;Barcelona;2;7;4;6;0;335,71;0;318,89
17162;Girona;1;2;1;1;0;0;0;0
8209;Barcelona;79;76;55;91;829,91;749,17;709,12;721,1
8213;Barcelona;154;141;111;90;485,2;419,38;409,47;433,41
17163;Girona;63;49;47;38;711,54;669,17;646,61;501,64
25192;Lleida;15;12;11;17;259,47;209,17;224,55;281,18
25197;Lleida;0;0;0;0;0;0;0;0
17164;Girona;116;108;118;97;347,83;335,88;328,84;315,9
8215;Barcelona;35;36;40;39;432,71;397,08;351,88;335,92
8193;Barcelona;13;22;24;12;765,38;552,63;580,54;511,67
8216;Barcelona;0;0;2;0;0;0;0;0
17165;Girona;23;16;5;19;422,25;397,8;0;375
43137;Tarragona;33;33;34;25;502,88;491,82;448,44;413,6
43902;Tarragona;27;23;20;17;291,82;293,22;263,31;297,94
17167;Girona;34;57;30;30;339,7;322,31;313,73;283,55
17168;Girona;7;5;7;4;681,57;0;1068,57;0
8218;Barcelona;114;120;134;138;459,5;399,08;384,52;364,82
8217;Barcelona;613;452;431;502;814,73;754,45;697,11;650,64
17185;Girona;46;47;64;44;420,89;370,92;355,75;343,57
17166;Girona;23;7;10;11;455,87;521,86;505;434,73
8903;Barcelona;5;2;5;3;0;0;0;0
17169;Girona;50;47;34;41;592,98;640,38;582,33;536,05
8220;Barcelona;41;30;33;39;449,77;408,65;432,96;422,82
17903;Girona;33;12;26;13;466,44;383,33;474,33;326,15
8221;Barcelona;363;438;298;344;1058,92;891,94;1003,18;941,59
17171;Girona;7;6;4;7;407,14;475;0;384,29
25193;Lleida;15;10;10;14;326,67;257,8;273;275,48
8222;Barcelona;46;53;46;59;509,23;544,06;473,04;467,37
8223;Barcelona;52;46;50;48;454,54;400,47;356,31;362
8225;Barcelona;0;0;0;0;0;0;0;0
8224;Barcelona;43;58;48;43;487,13;390,44;390,75;376,59
17172;Girona;3;8;8;1;0;720,25;621,88;0
25902;Lleida;3;6;0;3;0;331,67;0;0
8226;Barcelona;5;4;9;6;0;0;544,44;491,67
8227;Barcelona;52;35;50;34;523,07;480,43;436,26;425,66
8228;Barcelona;3;2;6;3;0;0;333,33;0
17173;Girona;1;2;3;3;0;0;0;0
8229;Barcelona;4;4;7;6;0;0;480;382,83
17174;Girona;1;0;0;2;0;0;0;0
17175;Girona;6;3;4;4;663,08;0;0;0
17176;Girona;2;1;4;3;0;0;0;0
17177;Girona;13;12;9;8;488,85;384,5;325;268,13
8231;Barcelona;529;488;458;457;702,77;660,32;604,72;567,6
8232;Barcelona;36;25;34;23;494,03;436,6;417,21;348,04
8233;Barcelona;21;23;17;20;342,21;325,56;329,2;357,66
8234;Barcelona;43;40;40;40;802,88;709,75;761,3;641,25
17178;Girona;50;47;53;56;448,9;402,02;412,01;380,24
8189;Barcelona;0;2;0;2;0;0;0;0
8235;Barcelona;137;134;155;139;697,42;651,52;583,45;569,02
8236;Barcelona;54;69;38;25;393;382,18;310,63;331,68
8237;Barcelona;48;29;27;25;384,79;373,96;356,71;356,43
8238;Barcelona;223;187;202;194;782,93;740,91;737,98;703,04
8239;Barcelona;14;14;8;8;615;611,79;490;512,5
25194;Lleida;0;3;4;1;0;0;0;0
8240;Barcelona;283;265;242;238;522,59;502,16;454,68;448,56
8241;Barcelona;0;0;8;8;0;0;383,13;320
8098;Barcelona;25;23;24;24;534,76;572,32;578,96;502,83
8262;Barcelona;227;213;207;226;431,91;390,12;369,95;342,04
8264;Barcelona;109;102;104;93;1251,57;1213,69;1148,23;1049,36
8265;Barcelona;32;27;25;24;394,97;323,89;309;311,22
8263;Barcelona;304;279;278;270;674,47;646,72;584,53;565,35
43138;Tarragona;53;43;45;43;284,65;272,45;268,83;257,56
8243;Barcelona;0;0;0;1;0;0;0;0
8244;Barcelona;88;69;73;81;773,74;705,55;691,72;631,12
17180;Girona;251;262;228;242;481,32;467,88;416,82;403,73
8245;Barcelona;2110;1947;1858;1934;583,95;529,14;505,82;483,28
43139;Tarragona;42;35;27;27;287,5;339,51;274,63;295,37
17181;Girona;59;50;56;64;580,55;584,56;505,27;504,98
8246;Barcelona;28;25;29;40;497,59;515,37;461,77;437,81
8247;Barcelona;26;18;16;16;483,92;493,06;473,75;427,19
8248;Barcelona;61;55;77;61;757,16;707,73;649;636,15
8249;Barcelona;1;1;3;1;0;0;0;0
17182;Girona;4;2;7;6;0;0;416,43;508,33
8250;Barcelona;132;138;120;115;382,25;354,77;325,16;320,39
8251;Barcelona;134;93;88;93;430,22;452,84;407,1;399,1
8253;Barcelona;3;2;2;2;0;0;0;0
8256;Barcelona;8;8;7;14;581,25;565,63;522,14;577,14
8255;Barcelona;2;1;0;4;0;0;0;0
8257;Barcelona;0;1;0;0;0;0;0;0
8259;Barcelona;147;112;143;131;586,4;575,52;520,19;473,55
8258;Barcelona;12;11;5;3;396,08;460,91;0;0
43140;Tarragona;33;21;23;18;556,27;525,93;555,87;473,89
17184;Girona;13;12;12;11;483,38;520,83;510,42;505
8260;Barcelona;281;301;301;320;629,02;596,36;523,53;489,18
8261;Barcelona;46;33;35;70;748,15;708;567,46;602,24
8192;Barcelona;118;123;105;109;484,18;430,11;411,51;415,37
43142;Tarragona;10;11;7;8;352,5;372,73;332,14;327,5
17186;Girona;78;52;57;109;562,13;573,6;518,33;506,57
25201;Lleida;0;0;0;0;0;0;0;0
25200;Lleida;0;0;0;0;0;0;0;0
17187;Girona;3;8;6;7;0;463,75;570,83;587,14
43143;Tarragona;1;0;0;1;0;0;0;0
43144;Tarragona;23;33;17;24;463,7;495,63;539,71;449,05
17188;Girona;7;1;0;0;510,71;0;0;0
43145;Tarragona;60;54;60;51;437,43;442,37;401,17;421,18
43146;Tarragona;0;0;1;1;0;0;0;0
43044;Tarragona;34;40;21;21;252,15;256,63;235,64;239,05
25202;Lleida;6;4;3;7;274,17;0;0;292,86
25035;Lleida;1;2;1;2;0;0;0;0
8267;Barcelona;140;205;150;134;544,11;501,22;511,16;440,46
17190;Girona;16;9;14;17;518,31;510;398,57;437,35
25204;Lleida;8;8;7;7;354,32;360,16;338,57;368,71
17191;Girona;1;1;2;1;0;0;0;0
17192;Girona;1;4;1;1;0;0;0;0
25203;Lleida;457;516;383;358;384,32;368,95;361,87;362,16
8269;Barcelona;54;56;41;41;617,69;586,43;583,32;454,51
25205;Lleida;2;4;4;5;0;0;0;0
17193;Girona;99;102;81;79;468,65;505,46;486,38;491,43
8270;Barcelona;895;814;655;770;983,74;955,37;847,11;756,66
17052;Girona;2;2;0;1;0;0;0;0
8271;Barcelona;1;0;0;0;0;0;0;0
25206;Lleida;1;0;0;0;0;0;0;0
43147;Tarragona;7;0;2;2;337,86;0;0;0
25207;Lleida;274;185;270;255;310,04;323,64;273,86;279,85
8272;Barcelona;2;2;0;1;0;0;0;0
25208;Lleida;3;5;4;6;0;0;0;389,83
25209;Lleida;84;71;79;75;340,88;320,35;315,51;302,4
25210;Lleida;4;7;4;4;0;356,89;0;0
8273;Barcelona;24;23;18;22;506,78;490,43;437,5;473,86
25211;Lleida;2;2;1;2;0;0;0;0
25212;Lleida;4;3;3;3;0;0;0;0
8274;Barcelona;71;47;32;32;373,6;370,16;365,56;328,34
17194;Girona;3;0;1;1;0;0;0;0
8276;Barcelona;3;2;6;5;0;0;545,36;0
8277;Barcelona;5;6;10;2;0;346,67;394,83;0
25215;Lleida;5;2;1;4;0;0;0;0
25216;Lleida;0;2;0;1;0;0;0;0
17195;Girona;2;3;0;1;0;0;0;0
8278;Barcelona;146;141;154;128;483,52;437,2;410,16;387,22
43148;Tarragona;4321;4241;3956;4010;513,78;476,75;447,67;431,53
25217;Lleida;299;268;246;263;331,56;306,62;291,94;287,71
25218;Lleida;1;0;0;0;0;0;0;0
25219;Lleida;0;0;1;1;0;0;0;0
8275;Barcelona;2;0;0;1;0;0;0;0
8280;Barcelona;0;0;0;0;0;0;0;0
8281;Barcelona;92;87;79;82;1117,67;834,37;969,1;885,41
25220;Lleida;5;11;4;3;0;315,45;0;0
17196;Girona;11;5;6;5;638,18;0;583,33;0
8279;Barcelona;5001;4782;4264;4219;560,85;525,74;481,33;446,2
8282;Barcelona;140;91;86;91;926;930,22;896,13;762,95
25221;Lleida;1;2;1;3;0;0;0;0
25222;Lleida;0;0;0;0;0;0;0;0
43149;Tarragona;10;3;7;6;314,5;0;247,14;297,5
43150;Tarragona;5;9;5;5;0;245,67;0;0
8283;Barcelona;115;137;139;172;509,89;482,45;438,67;384,14
25223;Lleida;27;25;19;16;295,59;294;274,21;292,5
8284;Barcelona;280;225;240;291;471,96;457,09;428,31;389,32
8285;Barcelona;242;252;231;252;417,2;387,08;354,13;350,6
25224;Lleida;0;1;0;0;0;0;0;0
25225;Lleida;6;5;0;3;414,17;0;0;0
25227;Lleida;6;0;1;11;322,5;0;0;90,91
8286;Barcelona;35;44;34;25;576,43;525,3;512,21;651,32
43151;Tarragona;0;1;0;0;0;0;0;0
43152;Tarragona;0;4;0;2;0;0;0;0
25226;Lleida;0;2;0;0;0;0;0;0
43153;Tarragona;488;480;475;506;487,6;466,47;430,84;429,09
25228;Lleida;61;88;58;70;407,02;441,3;422,68;391,89
25907;Lleida;2;5;7;2;0;0;258,57;0
25230;Lleida;17;11;14;19;300,7;294,92;291,43;284,74
25231;Lleida;4;2;0;0;0;0;0;0
8287;Barcelona;16;22;19;22;505,29;413,69;402,37;450,73
8288;Barcelona;35;49;42;28;454,42;400,46;390,71;352,62
8289;Barcelona;98;89;73;97;736,6;710,98;676,89;607,6
17197;Girona;0;0;2;0;0;0;0;0
25232;Lleida;4;1;8;4;0;0;330,59;0
25233;Lleida;1;2;2;2;0;0;0;0
17198;Girona;16;16;15;13;660,34;577,81;441,7;601,54
17199;Girona;212;180;196;140;499,79;471,52;449,53;418,16
43154;Tarragona;0;0;1;1;0;0;0;0
17200;Girona;10;13;14;11;426,5;462,69;432,14;352,27
43155;Tarragona;883;793;786;719;346,42;337,72;327,78;314,33
17201;Girona;1;1;4;0;0;0;0;0
17202;Girona;95;88;74;74;512;488,37;482,11;436,78
25234;Lleida;92;88;77;85;315,5;301,89;303,26;264,71
17204;Girona;17;16;10;8;493,2;509,85;400,76;559,63
8290;Barcelona;19;21;14;23;708,1;703,1;635,36;650,45
17205;Girona;4;5;1;5;0;0;0;0
43156;Tarragona;71;65;55;31;251,83;246,88;241,64;274,78
43157;Tarragona;4;3;3;2;0;0;0;0
17203;Girona;3;3;4;2;0;0;0;0
17206;Girona;1;6;2;3;0;599,17;0;0
8291;Barcelona;79;53;49;54;746,99;726,98;675,49;562,81
17014;Girona;1;1;0;1;0;0;0;0
17208;Girona;16;10;12;14;477,19;475;450,42;508,93
25043;Lleida;12;4;9;1;423,33;0;384,21;0
25901;Lleida;3;5;3;1;0;0;0;0
17207;Girona;41;41;35;29;483,41;504,88;452,57;452,07
8292;Barcelona;14;12;12;4;437,08;441,45;502,5;0
25238;Lleida;1;1;1;2;0;0;0;0
8293;Barcelona;6;3;1;0;396,67;0;0;0
43158;Tarragona;0;0;0;1;0;0;0;0
25240;Lleida;22;16;14;8;363,73;349,06;302,33;325
17170;Girona;3;0;1;1;0;0;0;0
43159;Tarragona;1;3;1;0;0;0;0;0
8294;Barcelona;26;34;28;34;690,76;670,56;639,69;630,66
8295;Barcelona;207;200;173;219;723,51;732,79;628,46;602,08
17209;Girona;2;1;5;4;0;0;0;0
43160;Tarragona;17;17;17;16;472,06;478,53;455,59;403,44
8296;Barcelona;36;34;38;30;946,51;896,62;1040,57;901,79
43161;Tarragona;469;453;472;496;407,31;386,36;380,49;381,33
25906;Lleida;2;0;3;3;0;0;0;0
25239;Lleida;11;11;7;5;503,64;450,91;453,57;0
43162;Tarragona;70;81;73;69;463,79;433,13;458,26;401,54
25909;Lleida;0;0;0;1;0;0;0;0
8297;Barcelona;2;2;1;1;0;0;0;0
43163;Tarragona;885;793;756;755;464,49;429,26;404,17;377,41
17210;Girona;8;18;11;8;535,63;493,61;516,82;521,87
25242;Lleida;7;5;2;1;382,86;0;0;0
17211;Girona;28;19;23;16;461,79;448,74;433,26;453,44
43164;Tarragona;3;4;2;3;0;0;0;0
8298;Barcelona;1218;1198;1181;1354;522,27;494,2;455,26;441,24
17212;Girona;0;4;0;1;0;0;0;0
17213;Girona;77;83;78;57;591,62;490,53;499,62;483,37
25243;Lleida;68;49;54;60;550,09;575,84;540,91;489,19
43165;Tarragona;5;5;2;4;0;0;0;0
17214;Girona;7;16;9;18;499,29;495,31;520,56;481,94
17215;Girona;14;20;20;11;644,29;632,65;641,88;609,59
8299;Barcelona;7;9;4;4;328,57;272,78;0;0
17217;Girona;2;3;2;3;0;0;0;0
17216;Girona;3;2;2;0;0;0;0;0
8301;Barcelona;790;795;650;628;724,38;683,76;624,41;604,08
8300;Barcelona;54;46;42;34;714,26;729,86;692,36;655,48
17218;Girona;7;13;7;7;614,29;625,38;642,86;607,14
17220;Girona;19;15;23;10;422,89;503;442,39;443
17221;Girona;33;45;40;33;523,18;528,56;508,96;532,42
8305;Barcelona;930;928;846;835;518,54;491,45;445,07;407,92
25244;Lleida;7;10;9;10;430,29;306,52;211,11;317
17223;Girona;15;13;18;24;433,14;423,08;421,01;414,36
43175;Tarragona;0;0;1;1;0;0;0;0
8306;Barcelona;24;16;14;13;545,42;508,06;534,64;483,85
25245;Lleida;7;2;1;0;331,11;0;0;0
17224;Girona;3;2;2;0;0;0;0;0
43166;Tarragona;40;58;44;56;439,96;384,43;370,14;397,68
17225;Girona;3;8;5;3;0;381,25;0;0
17226;Girona;11;13;9;12;503,18;638,27;577,22;382,87
17227;Girona;2;1;2;2;0;0;0;0
25247;Lleida;0;0;0;0;0;0;0;0
17228;Girona;10;10;8;2;563,5;586;535;0
25248;Lleida;4;7;1;4;0;305;0;0
25254;Lleida;4;5;3;5;0;0;0;0
25249;Lleida;0;1;0;0;0;0;0;0
25250;Lleida;0;1;2;4;0;0;0;0
43168;Tarragona;0;0;0;1;0;0;0;0
8303;Barcelona;7;5;5;2;465,71;0;0;0
25251;Lleida;3;1;10;4;0;0;376,5;0
8302;Barcelona;187;154;151;154;399,63;359,24;346,01;324,42
8902;Barcelona;89;72;58;58;783;741,81;743,66;757,15
43167;Tarragona;2;6;2;4;0;379,17;0;0
8307;Barcelona;1330;1264;1057;1258;631,68;583,23;543,42;516,47
43169;Tarragona;4;5;3;2;0;0;0;0
43170;Tarragona;10;18;20;15;358;361,94;352,75;352,33
17230;Girona;11;15;10;9;498,18;510;450,1;448,33
25252;Lleida;3;3;1;3;0;0;0;0
43171;Tarragona;361;347;367;322;476,81;448,31;422,55;415,64
8214;Barcelona;164;150;131;144;789,1;720,33;699,02;656,74
8219;Barcelona;513;452;339;388;823,92;798,68;752,13;701,82
17222;Girona;1;4;2;3;0;0;0;0
43172;Tarragona;2;5;0;2;0;0;0;0
43173;Tarragona;2;0;1;0;0;0;0;0
43174;Tarragona;3;2;0;0;0;0;0;0
8304;Barcelona;6;3;13;8;542,17;0;635;515,63
17233;Girona;43;41;55;44;547,79;513,78;462,14;485,05
17232;Girona;1;2;2;5;0;0;0;0
25253;Lleida;0;0;1;1;0;0;0;0
43176;Tarragona;11;10;6;5;390,91;311;340;0
25255;Lleida;2;0;2;0;0;0;0;0
43177;Tarragona;2;7;1;0;0;244,29;0;0
43178;Tarragona;33;30;38;31;446,52;431,37;390,79;397,1
8308;Barcelona;0;1;1;0;0;0;0;0
43052;Tarragona;8;7;2;5;335;344,29;0;0
8019;Barcelona;4607;4977;4484;4182;914,04;828,79;739,23;675,74
8019;Barcelona;11513;10024;8457;8538;1038,38;990,73;917,27;831,44
8019;Barcelona;5769;4930;4285;4297;803,74;763,17;678,78;624,52
8019;Barcelona;2357;2131;1847;1814;1089,53;1052,3;985,94;925,45
8019;Barcelona;5305;4616;4107;4152;1268,92;1227,89;1144,71;1051,23
8019;Barcelona;5221;4851;4049;4192;904,53;856,42;787,86;721,65
8019;Barcelona;4511;4196;3656;3527;746,16;706,63;640,15;586,85
8019;Barcelona;3444;3146;2788;2724;674,59;625,51;561,07;518,8
8019;Barcelona;3285;2982;2445;2724;762,71;705,66;644,91;611
8019;Barcelona;5969;5473;4510;4473;884,51;842,33;771,41;700,56
